0,class
من قام ليلة القدر إيماناً واحتساباً غُفر له ما تقدم من ذنبه قف بين يدى الرحمن وأطل الوقوف وقل يا رب أتيتك بذنوب كثيرة و أنت العفو الكريم,POS
جمهورية شبرا الخيمة ,POS
لا تنتصر لنفسك و لكن انتصر للحق و تعلم من الإمام الشافعى حين قال ما ناظرت أحداً قط إلا تمنيت أن يجرى الله الحق على لسانه,POS
,POS
منذ غرس بذرتها الشهيد حسن البنا ليسقيها بدمه صاحب الظلال ليتم الفتك ببطل أول صندوق إنتخابي ديموقراطي وشعبية الاخوان …,POS
مبروك على مصر وأهل مصر اﻷبطال اﻷشاوس المحترمين المتعلمين المثقفين كل شعب مصر شعب راقي كلمتكم الموحده و سأنتخب السيسي,POS
صح ,POS
,POS
الفكرة رائعة وكلما تعملوا ترتيبات ليها إبعت لي منشن عشان أنشرها وبرجاء عمل قسم خاص لحملة الإرباع المخرومة اللي تستحقها الإدارة,POS
النادي الاهلي هو النادي الرسمي للدولة المادة لاولى,POS
مبرووووك لسواريز فاز بجائزة أوسكار بعد آدائه الرائع في عدت أفلام !,POS
وبحبك يا زمالك,POS
السادة الأفاضل بجريدة المصري اليوم عن الخبر المنشور حول إلغاء ندوة لي بنادي الشمس للدعاية الانتخابية الخبر غير صحيح,POS
كل عام وأنتم بخير وكل منا في سلام مع نفسه ومع الغير وفي وطن يتسع للجميعمازالت قناعتي أن شباب مصر الثورة هم الحل والأمل فكر خلاق وقيادة فتية,POS
 كان حي الطبقة المتوسطة العليا في مصر و ذهب اليه الكتاب و المثقفين المصريين بحثا عن مزيج نادر يتفق مع طبيعته,POS
هتحبك لو تحاول تقنعها باللى انت عايزه بهدوء مش زعيق وخلاص ,POS
ما نحن فيه الان هو كله بفضل الشهداء و مصابي الثوره لذلك لابد من تاسيس هيئه تكون مهمتها تكريم اصحاب الفضل فيما نحن فيه الان,POS
تواجدي خارج المملكة منعني مشاركتهم في تجهيز التيفو واعرف حجم التعب واﻻرهاق اللي يعانوه حالياً ويارب ﻻتضيع لهم تعب الالتراس,POS
الانتخابات البرلمانية القادمة محطة كبرى، فإما تقارب بيننا وبين الدولة المدنية بمعانيها غير العسكرية وغير الدينية أو تباعد بيننا وبينها,POS
تحيا مصر مصر جميلة مصر المحروسة السيسي هايصالح السيسي رئيسي ,POS
موقع اتحاد مكتبات الجامعات المصريةحاجة مبهرة وخدمة عظيمة للباحثين واضافة رائعة للمحتوي العربي علي الانترنت,POS
بصرف النظر عن شغلها ولا اي حاجة تانية بحب في فيفي عبده ان اللي في قلبها علي لسانها ملهاش في النفاق زي معظم الوسط الفني,POS
ننعي الي الانسانية رمزا متألقا للنضال في سبيل الحرية والنهضة والكرامة الانسانية القائدوالمجاهدوالمفكر العربي احمد بن بيللا زعيم ثورة الجزائر,POS
أحبكَ ربي جميل الصّفاتِ كريم العطايا وجزل الهِبات ِ فأنت الرحيم اللطيف الحليم وأوّل حُبّ يَـلُـمُّ الشتاتِ أحبك ربي,POS
من الذي زار مرسي في مخبئه السري؟! دعلاء الأسواني يكتب مقاله بعنوان كيف للرئيس أن ينام ؟! على هذا الرابط >>,POS
أفَلا أكون عبدًا شكورًا قالها صلى الله عليه وسلم ليخبرنا بأن بالشكر تدوم النعم ويجد الإنسان سعادته الحقيقية الشكر…,POS
سلامة أحمد سلامة، تركت إرثاً من الأخلاق حين عزت و من الحصافة حين اهتزت و من الشجاعة حين كان لها ثمن يرحمك الله,POS
اذا حدث توافق حول المبادىء العامة للدستور سيفقد المتطرفون اكبر أسلحتهم لابد ان يقنعوا البسطاء ان الاسلام في خطر حتى يفوزوا بمقاعد الحكم,POS
لمن يعتقد ان صداقتي بجون ستيوارت اليهودي تهمةشوفوا حلقاته هاجم منع المآذن في سويسراومنع مسجد منهاتن وهاجم اسرائيل في اللي بتعمله في غزة,POS
جالس العلماء وزاحمهم بركبتيك فإن الله يحيى القلوب بنور الحكمة كما يحيى الله الأرض الميتة بوابل من السماء مصطفى ح,POS
عقبالنا ,POS
حركة كايدينهم مصر قول كلمه للسيسي وخد فولو هديه ياسيسى يا زعيييييييم سأنتخب السيسي احنا شباب هنصوت للسيسى,POS
نفسي حد يغنيلى اغنية اهواك عبدالحليم حافظ فرحه برده حلم,POS
أسم فيلم بتحبه أسف على الإزعاج,POS
أحسن حاجة في أغنية السكة شمال هيا ايه ايه ايه ايه اللي أمير بيقولها قبل ما بيغني علي طول !,POS
شكرا إن حضرتك دورت على المعلومة واقتنعتأنا ليس لي مصلحة وأكتب مايرضي ضميري والعلم عند الله,POS
نشكرك تكلمتي بلسانا جميعا ,POS
النصر الفيصلي عظيم بجمهورك الله يسعد الحاضرين كلهم والغايبين,POS
الشيخ حازم ابو اسماعيل يرد على فتوى برهامي الأخيرة ! فك الله اسرك يا بطل منك نتعلم منهج الدين الحق …,POS
أفضل لاعب يالعالم يرد على المشككين بهدف آخر من ماركة رونالدو و يعلن نفسه من الشهر الرابع أقوى المرشحين للكرة الذهبية,POS
 تركيا كبير القضاة يتهم أردوغان بـ فساد الضمير ويتعهد صون كرامة الأتراك وحرياتهم ,POS
رحم الله سامر سليمان، كان مصريا مخلصا لقيم المواطنة والديمقراطية وأستاذا متميزا للاقتصاد السياسي، رحمه الله,POS
أثق في رؤيةأحمد سعيد وأعلم التزامه بمبادئه وأنا معجب بتصريحه أن الحزب يستطيع أن يكون حزب الأغلبيةوأتمنى فوزه في الانتخابات لتحقيق تلك الرؤية,POS
سبحان الله وآلحمد لله ولا إله إلا الله ولآ حول ولآ قوة إلا بالله والله أكبر واستغفر الله اذكر الله غرد بذكر الله ,POS
كل التضامن مع ثورة شعبنا العربى فى اليمن من أجل الحرية والديمقراطية والعدالة والوحدة ثورة الشعب العربى ممتدة من المحيط إلى الخليج حتى النصر,POS
… فودافون,POS
عامل كهربائي يستغل وقت فراغه في عشر ذي الحجة في قراءة القرآن كتب الله أجره وغفر ذنبه عشر ذي الحجة,POS
انا بحب أخويا,POS
مرة واحد مراته عقدها اللي بتحبه اتقطع فسهر طول الليل يلم في حباته عشان متزعلش سيدنا النبي السيدة عائشة الحب,POS
مداخلة نجيب ساويرس مع الإبراشيي وتعليقه على إستقالة دالبرادعي وأحداث مصر,POS
كما تهمنا مصر تعنينا دمشق وكما تُشقينا غزة تقتلنا بغداد وكما نحب اليمن نخشى على ليبيا أما قطر فهي سيدة النهوض و…,POS
ابتسم فلتلك البسمة الصغيرة أثر كبير في إسعاد قلوب اﻵخرين,POS
 الحمد لله في أسعد حالاتي إني شفت اليوم ده بيتحقق في أقل من سنة أنا كنت متخيل إنه هييجي بعد ماتمر كذا سنةربنا كريم,POS
من لا يعرف قدر المستشار مكي وقضاة الاستقلال الأجلاء عليه ان يعود الى معركتهم العظيمة في عام ضد نظام مبارك ليعرف دورهم التاريخي للوطن,POS
برطمان حنية مليان زيادة وماشي بيدلدق الأسد,POS
قد ترى الأمور مستعصية عليك بعض الشيء لكن اذا ما نظرت من ذاك الباب الذي لا ينظر إليه احد سوف ترى الأمور متجلية واضحة ومفهومة لديك حاول,POS
 الإسلام أم مصر ؟ يزداد إحترامى لك مؤخراً كلما تكلمت مع إنى سأرشح البرادعى,POS
إبراهيم عيسى قلم شجاع وضمير يقظ وعلامة بارزة فى تاريخ المهنة تحية له ولفريق الدستور وستبقى حرية الصحافة فى مصر ثمرة مستحقة لنضال الصحفيين,POS
في يوم الارض المجد كل المجد لمن يقاوم بامعائهه الخاوية سامر العيساوي ,POS
جديد في تويتر الرائع هنا انك بتتعلم البلاغة لانك ملزم بـ حرف,POS
ايماننا يمحق تهديدهم وسنواصل نضالنا السلمى مع الشعب المصرى وشبابه الثائر لاستكمال ثورتنا والقصاص لدماء شهدائنا ووفاءا لروح الشهيد محمدالجندى,POS
فى لفتة جميلة من د عبد المنعم ابو الفتوح قام بالأمس بزيارة مفاجئه للمتطوعين فى مقر الحملة بشارع رمسيس,POS
ما اجمل ان استيقظ على صوت دعبدالمنعم أبو الفتوح في اول محادثة بيني وبينه وهو يقول لي محدش يقدر يجي جنبك ده انتي زي بنتي ,POS
يا من اذا قلت ي مولاي لباني يا واحداً ماله ف ملكه ثاني أعصي وتسترني أنسى وتذكرني فكيف أنساك ي من لست تنساني لا اله الا انت …,POS
انت الغالى اللى بقالى سنين بهواه الزمالك الزمالك الافريقي,POS
عنان كان دفاع جوي مع ان دايما رئيس الاركان مشاة او مدفعية الله يرحمك يا ابو غزالة، عبقري المدفعية في القرن العشرين,POS
بكرة احسن ولسة في امل,POS
أخص بالشكر د محمد البلتاجى الذى المت به أزمة صحية لجهوده فى تجميع الصف الوطنى لتأسيسية الدستور وأسألكم الدعاء لرجل وطنى بحق,POS
اقولك على حاجه! الدنيا مش محتاجه! اه والله,POS
 يضاف اليهم البرادعى ضمير الثورة طبعا,POS
الشعب هو البطل الوحيد!,POS
كريستيانو رونالدو صاروخ ماديرا او قاذفة اللهب او الدون او التورنادو او السيداو الامراطور و المهم انه افضل لاعب عالمي,POS
,POS
دعوة الصائم لاترد اللهم أغفر لي ذنبي وأجلي همي وبدد وحشتي وأنر قلبي بذكرك وطاعتك وأجعل الخير مفاتح دربي والصدق نور طريقي,POS
,POS
بل إن الله تعالى أقسم بها حين قال وليالٍ عشر ، وهذا وحده يكفيها شرفاً وفضلاً، فإن العظيم لا يقسم إلا بعظيم فلا يفوتكم الأجر العظيم,POS
رضا عبدالسلام كلام دعبدالمنعم أبوالفتوح الاقرب إلى الناس وهو علامة من علامات مصر هو شخصية مصرية مضحية حتى النخاع,POS
,POS
 غير صحيح! التوقيع لخالد كان لتمكينه وهو الشاب الوحيد والأكثر جراءة في الدفاع عن المدنية من دخول السباق الرئاسي,POS
اللهم امطر على قبر محمد حسين جمعه وعلى قبور جميع موتانا وموتى المسلمين من سحائب رحمتك يارب اللهم اغسلهم بالماء والثلج والبرد,POS
الاعتراف بالخطأ خلق جميل,POS
الكلاب أوفياء رجاء عدم إهانتهم,POS
فوز الاهلى مرتين متتاليتين بكأس افريقيا من غير دورى يؤكد أن نقص الامكانات لا يمنع الانجازات بشرط توافر النوايا الطيبة ربنا يحفظ تريكه,POS
أهنئ الدكتور أحمد جمال الدين، القيادي بحزب مصر، بمناسبة صدور أولى روايته,POS
الدراما المصرية في تقدم مبهر مسلسل نيران صديقة راااائع جداً جداً,POS
فلتقل خيرا أو لتصمت خلق جميل,POS
ادعوكم لقراءة مقالة رائعة كتبها آصاحبي محمد يسري سلامة من ٩شهورعن مغبة شيطنة الميدان من اباخوان والتي ستنقلب عليهم,POS
سعدت بلقاء أهالى المنصورة و فخور بأعضاء حملتي بالدقهلية الذين اتاحوا لي هذا اللقاء ورتبوا زيارة الكنيسة ولقاء القوى السياسية,POS
واضح إن أمي دعت عليا وأنا صغير وقالتلي روح ربنا يفرّج عليك خلقو، قام ربنا طلعني مذيع ,POS
ولما تبص حواليك هتعرف انك احسن من ناس كتير عشان كده لازم تقول الحمد لله,POS
حتى في فرنسا متأخر عشان الريس معدي!,POS
تسلم الايادي يا جيش بلادي و يا شعب بلادي تحرير سيناء من الصهاينه + الاخوان,POS
شاركونا على تويتر يا شباب خلق جميل تعالوا ننشر على الهاشتاج ده أخلاق نحب نراها فى مجتمعاتنا و يتخلق بها,POS
الله يبركلك يا دكتور ابو الفتوح ,POS
الميزة الوحيدة لحزب النور هو توافر مادة جيدة للبرنامج لكن انا بقول ان البلد اهم من البرنامج ,POS
تحية لصحفيي الدستور وشبابه في اعتصامهم من أجل حق الشعب في صحافة حرة، ولتمسكهم بقائدهم الوطني إبراهيم عيسى وبالدستور كصحيفة مستقلة,POS
عيد الأم امي امي يا اجمل ما يبدأ بهِ يومي فَ سبحان من صنّع من دعواتكِ سعادةٌ لي لا تنتهي,POS
عدت من الاسماعلية منذ قليل بعد يوم حافل ختمته بمؤتمر جماهيري دفء مشاعر أهل الاسماعلية هون برودة الجو ,POS
الاعلامي المحترم يوسف الحسيني يطالب بإعادة فتح التحقيق في حريق مسرح قصر ثقافة بني سويف,POS
أحبك ربي الحمد لله,POS
الطاقة البشرية اذا ما احسن استغلالها هى رصيدا و ليست عبئا قوتنا فى عددنا,POS
هتحبك لو احترمتها فى وجودها او غيابها ,POS
اي أمرأة تصنع الحب والايثار والاهتمام والعطف والحنان مؤهلة ان تصبح أم مثالية حتى لو كانت مارلين مونرو! فيفي عبده الام المثالية,POS
انا مع خريطة طريق وجدول زمني للانتقال الديمقراطي ونطمئن من ثم المواطنات والمواطنين بأن مصر لن تكون مع حكم مجلس عسكري يستمر إلى ما لا نهاية,POS
ورضيت أعيشلك انت يا حبيبي كفايه ان انت حبيبي عمرو دياب,POS
ابراهيم صلاح ضحى ب مليون من الهلال السعودى او اتحاد جدة ، وإختار الزمالك زملكاوى,POS
مبارك عنده أبناء و مرسي عنده جماعة الوحيد اللي غلبان في البلد دي هو عدلي منصور تحسه إنه مقطوع من شجرة !,POS
بعد رفض ضياء رشوان قطة النظام تعديلات الدستور التى تجاهلت مقترحات نقابة الصحفيين انتظروا فتح قضية قديمة لرشوان او اولاده هتسكت ولا نذيع,POS
مقال رائع لخالد منتصر,POS
أنت من أستلذ بأحلامي بك واستطعم الحب بحضورك مقتبس من [ ] تصميمي ميسي ,POS
,POS
لله الحمد تجوزنا محب و متابع لصفحة الأقصى متى نصل لـ آلاف محب ومتابع ؟؟ تغريدات الدكتور عوض القرني,POS
أحبك حبا لو يفيض يسيره جوهرة محمد بن أبي أمية,POS
المصري اليوم السفير حسام القاويش، المتحدث باسم مجلس الوزراء، للإعلامية جيهان منصور في برنامج صباح التحرير ,POS
لأن أقول سبحان الله والحمد لله ولا إله إلا الله والله أكبر أحبّ إليّ مما طلعت عليه الشمس اذكر الله غرد بذكر …,POS
شاهد - تميم البرغوثي ومصطفى سعيد في الذكرى الأولى للثورة فى آخر كلام ,POS
خلق جميل إذا جفت ينابيع السعادة فهاجر إلي كتاب ربك,POS
إنما المؤمنون إخوة علي شعار رابعة خلفية الزعيم أردوغان في منظر ولا أروع مرسي رئيسي,POS
مطلعتش أنا زي ماكنتي بتقولي اول و اخر حبيب لحقتي عرفتي و دوبتي و عشيقتي لحقتي نسيتي و هجرتي و بعتي عزيز الشافعي,POS
يوم عظيم على شعب عظيم باذن الله حشود المصريين وهتافاتهم وسلميتهم تحرك الصخر النصر قادم وما النصر الا من عند الله,POS
المجلس الانتقالي الليبي يكرم قناة اون تي في الفضائية المصرية، باعتبارها أفضل قناة فى تغطية أحداث ليبيا ,POS
اللهجة التونسية فعلا من احلى اللهجات في العالم العربي ومش صعبة,POS
جيد أن تتنوع الآراء حول السياسة وقضاياها وضروري أن يتم التعبير عن هذا التنوع في الإعلام التقليدي وشب,POS
الصلاة في الأقصى تعادل ١٠٠٠ صلاة هذا ثواب الصلاة فقط لكن ثواب الوصول والجهاد ومقارعة اليهود لا يماثلها ثواب وأجر,POS
نسأل الله أن يحفظ شيخنا من كل مكروه ويمن عليه الصحة والعافية سلامتك يا خليفة ,POS
أعطي رسول الله المرأة مكانة عالية وجعل لها دور كبير في المجتمع شاهد لتعرف يوم المرأة العا…,POS
 معلم و واعي يا يوسف,POS
شكرًا جزيلا,POS
,POS
زمكان - مصر أخبار مراسلينا ابراهيم حماد يمنع استخدام عربيات ربع النقل فى نقل الركاب فى اسيوط اسيوط -,POS
افضل ﻻعب في العالم رونالدو لم يستطع التسجيل بوجود الصخرة حمد المنتشري! اسطورة كانيدا يحتاج لحمد المنتشري,POS
سنسمو على خلافاتنا السياسية والحزبية وسنعلى فقط المصلحة الوطنية ستنتصر ثورتنا وستكون مصر قوية بإذن الله,POS
إصرار الشعب التونسي على الوصول إلى الكيلومتر الأخير ثورة أخرى في حد ذاته وأهم درس من بين دروس كثيرة ,POS
المجد لله ثم لك انت ياشهيد جـــيكا سيد وزة,POS
اتمنى ان تكون القوى الإسلامية والليبرالية واليسارية راغبة بالفعل في تشكيل قائمة وطنية موحدة لخوض الانتخابات البرلمانية القادمة ,POS
الصداقة تزرع الحياة أزهارًا مي زيادة,POS
وظني بك يارب ظناً جميلاً جمعة مباركة,POS
الحمد لله حققنا مستهدف حملة ال يوم لمحو الأمية شكرا لشباب صناع الحياة و لكل شركاء الحملة يا رب أعنا على,POS
يا صباح الخير يا صباح النصر احنا ملوك كل حاجه فى مصر الأهلى,POS
شوف العقول المفكرة لما تتحاور مع بعضهاده إيه الحلاوة دي كلها؟,POS
أرشح صاحب هذا الحساب كأفضل مغرد لإفادتي في مجال لعبة تدوين,POS
وصول الثوار لميدان التحرير احد اكبر علامات اسقاط الانقلاب والعلامات الكبرى والاخرى قادمة مع قادم الايام,POS
,POS
,POS
عمر جابر مننا هيه هيه زملكاوى زيينا هيه هيه لاعب بعقلية أولتراس,POS
زبيدة ثروت مزز ما قبل البلاستيك,POS
كتر خيرهم فعلا بيصلحوا غلطة مش بتاعتهم,POS
انزلوا في مجطات المترو والشوارع في المانيا و امريكا و فرنسا ناس ملتحين بيوزعوا مصاحف،وناس بتدعوا للاسلام في الشارع ماحدش بيكلمهم,POS
حـازم إمـام جمـاهير الأهـلى بتــفهم كـورة,POS
ثلاث سنوات و روحه معنا معياراً للمبادئ اللهم ارحم محمود عوض و أدخله فسيح جناتك,POS
تحياتي يا بلد,POS
الاهرام رجع زى أيام هيكل البلد زى الفل بس تعبانة شوية وقواتنا تقترب من تل ابيب بس اسرائيل ضربت كل مطارتنا,POS
قوة هدفها استكمال نقل السلطة للمدنيين المنتخبين وبناء دولة المواطنة والقانون المدنية ورفض ممارسات الاستبداد والمنافسة الانتخابية الجادة,POS
شكرًا تويتر !,POS
دعلاء الأسواني لماذا يتحرش المصريون بالنساء ؟! أقرأ المقال كاملاً ؟! >> … …,POS
الصفحة الرسمية لصناع الحياة مصر تهنئكم بقدوم عيد الفطر المبارك كل عام وانتم بخير,POS
حلوان وروكسي وعين شمس بورسعيد وبنى سويف والمنيا والفيوم والسويس شكرا حشودكم شعب مصر عظيم,POS
,POS
 حبيبان نحن الى ان ينام القمر ! جوهرة محمود درويش ,POS
د علاء الأسواني ماذا يريد أنصار الأخوان من اسكندر طوس ؟! >> أقرأ المقال كاملاً على هذا الرابط … …,POS
شكراً ,POS
حمداً لله على سلامة أبنائنا المجندين المحررين، و نهنئ أهلهم و أحبائهم بعودتهم و نهنئ الشعب المصري بإطلاق سراحهم,POS
متعودتش اشوف ف الناس غير الجمال حمزة نمرة,POS
واحشني قوي و انا مقصر معاك عندك حق كلم شادي و الشباب و خلينا نتقابل يوم الجمعة و العشاء عليا,POS
,POS
كلمتين وبس أحبك جدآ الى احدهم,POS
أسامة غريب تشرفت بالدفاع عن الكاتب الساخر المعروف الأستاذ أسامة غريب فى قضايا الرأى التى كان يحاكم فيها أيام,POS
حمزة نمرة انساان ,POS
أشكرك يا خالد,POS
الناس لازم تحس إن يونيو جت عليهم بفايدة على المستوى الإقتصادي والاجتماعييوسف الحسيني نقطة لقاء، مص …,POS
مصر اليوم حرة بارك الله في شعب مصر,POS
صحف العالم تتحدث بدهشة عن صمود وعظمة وبسالة المصري فى مواجهة دموية الانقلاب هل هتاك شعب يحب بلده مثل المصريين؟ نصرنا قادم ان شاء الله,POS
انك تدافع عن اي بنت لو لاقيت حد بيدايقها ف الشارع الرجوله دي خلق جميل,POS
عن فرحتك وانت بتجدد الباقه,POS
يوسف الحسيني هدف الإخوان في نوفمبر الوصول لميدان التحرير والسيطرة عليه السادة المحترمون …,POS
انا مسلم وبفتخر,POS
الله اكبر وتحيا مصر ،الحمد لله وحده، صاحب الفضل كله، انعم علينا بثورة عظيمة واختار من بيننا شهداء ابرار,POS
من اقوال شيخ المعلقين محمد رمضان ماجد عبدالله لابد ان تكون هناك قناة رياضية متخصصه لنجوميته وابداعه تقديرا لتاريخه المجيد لوطنه ولناديه,POS
ألمصريين أحرار !,POS
المرأة هي سر توازن الحياة وسر جمال الكون ومصدر المحبة والرحمة في هذا العالم كل عام وأنتن أقوى وأجمل وأفضل يوم المرأة…,POS
أبو تريكة عن صلاح وجدو أحسن اتنين احتياطى فى العالم,POS
نفسي اوى اشوف مسلسل يوميات ونيس ,POS
قرار رئيس الجمهورية بعودة البرلمان للانعقاد صحيح و التنفيذ الصحيح لحكم المحكمة الدستورية يكون في الإنتخابات القادمة,POS
على سبيل السعاده انا صديق مجدى,POS
لولا الانقلاب لسارت عجلة البناء والعلم والاقتصاد والحريات والقانون اسرع من احلامنا,POS
مراسلنا من الاسكندرية صدقى صبحى القوات المسلحة ستظل دائما الدرع الواقية لهذا الشعب العظيم,POS
بعد دقائق يتحدث حبيبنا دعبد المنعم أبو الفتوح على قناة الحياة عن رؤيته للاوضاع الاخيرة فى مصر ومسقبل البلد,POS
رحم الله الحاضر الغائب أيقونة النضال الفلسطينى محمود درويش ، تحية ودعاء فى ذكراه,POS
المناضل حمدين صباحي سيظل يناضل ويناضل حتى يجد نفسه محكوما عليه بالإعدام بتهمة ممارسة النضال في مكان عام وبكرة تشوفوا,POS
أخشى من أن يشوه بعض من يتكلمون باسم المشروع الاسلامي أن يشوهوا المشروع د عبد المنعم أبو الفتوح أثناء لقائه,POS
وزير الغلابة باسم عودة معتقل ف سجون العسكر ل افضل منتج لاكرم شعب انا مش رقم انتفاضة السجون,POS
جلال عامر الغائب الحاضر,POS
,POS
انا مستعد للقيام بأي دور لخدمة الوطن حفاظا على التضحية التى قدمها الشهداء وحماية لمطالب الثورة,POS
هو اللي عيونه ندوني مالعالم كله خدوني,POS
شكراً لك ِأيتها المرأة لجعلكِ العالم أكثر جمالاً و روعة لا تتخلي عن أحلامكِ وحقوقك اليوم العالمي للمرأة ريتويت,POS
سبحانك يالله وفي ساعة المطر تستجيب لدعواتنا،،، عادل,POS
مايكل أوين أعتقد أن أعظم لاعب لعب لـ ريال مدريد في كل العصور هو كريستيانو رونالدو، يليه بوشكاش اسطورة,POS
إستبشروا خير,POS
سحر النوم والراحة مع مصطفى حسني ،، جميلة ,POS
حفظك الله يا خادم البيتين، وأدامك ذخرا للإسلام والمسلمين ذكرى البيعة التاسعة,POS
أنا ارشح قيادات وشرعيي جبهة النصرة لنيل جائزة أوسكار في التأليف المسرحي وكتابة القصة الخيالية القصيرة ريتويت إذا كنت مؤيداً,POS
 لم أهاجمه بل أحترمه ولو كان له أخطاء فهو بالتأكيد شخصية تحترم,POS
